iter	Logloss
0	0.6688915975
1	0.6452279988
2	0.6273233068
3	0.6149444645
4	0.601288963
5	0.5902034604
6	0.5804101981
7	0.5726584185
8	0.5638133297
9	0.5546309895
10	0.548123251
11	0.5393445589
12	0.5323081047
13	0.5266258757
14	0.5203702953
15	0.514964128
16	0.509640968
17	0.5050805652
18	0.502134043
19	0.4975118571
20	0.4942083247
21	0.4896709896
22	0.4869383747
23	0.4839652496
24	0.4785747367
25	0.4760134999
26	0.4736803813
27	0.469250851
28	0.4657486185
29	0.4609253282
30	0.4569731478
31	0.4540140893
32	0.450577096
33	0.4487104219
34	0.4452750586
35	0.4429628812
36	0.4402671978
37	0.4371029176
38	0.4351018838
39	0.4332044679
40	0.4300993304
41	0.4274174836
42	0.4257596761
43	0.4230831808
44	0.4211071417
45	0.4193035176
46	0.4170941256
47	0.4146198559
48	0.4125176838
49	0.4100047872
50	0.4076771611
51	0.4055508387
52	0.4018526642
53	0.399212013
54	0.3969952585
55	0.3946435145
56	0.3918723735
57	0.3885297405
58	0.386018839
59	0.3835531599
60	0.3808176275
61	0.3767837082
62	0.3738745056
63	0.3707848185
64	0.3666061726
65	0.3637535325
66	0.360697608
67	0.3575080734
68	0.3547775057
69	0.3522802573
70	0.349754474
71	0.3468235009
72	0.343673469
73	0.3403888454
74	0.3378132846
75	0.3352939422
76	0.3326109529
77	0.3302448786
78	0.3283833853
79	0.3254349866
80	0.3237747861
81	0.3209906828
82	0.3182094583
83	0.3166038399
84	0.3156334399
85	0.3130639475
86	0.3108878426
87	0.3088610085
88	0.3067311897
89	0.3045104152
90	0.3018522664
91	0.2994604429
92	0.2987289266
93	0.2970319207
94	0.2953822469
95	0.2929709715
96	0.2912483178
97	0.2889879053
98	0.2866794162
99	0.2849106091
