iter	Passed	Remaining
0	489	48445
1	722	35392
2	948	30676
3	1169	28072
4	1388	26374
5	1608	25200
6	1827	24282
7	2045	23528
8	2259	22848
9	2475	22276
10	2690	21767
11	2905	21304
12	3127	20928
13	3340	20521
14	3559	20173
15	3785	19872
16	3999	19524
17	4216	19210
18	4427	18873
19	4650	18602
20	4865	18303
21	5081	18016
22	5296	17732
23	5512	17457
24	5735	17206
25	5951	16939
26	6164	16667
27	6381	16410
28	6597	16152
29	6817	15906
30	7032	15653
31	7253	15413
32	7469	15164
33	7684	14917
34	7901	14673
35	8120	14436
36	8332	14188
37	8557	13962
38	8774	13723
39	8985	13477
40	9214	13260
41	9427	13018
42	9654	12797
43	9874	12567
44	10093	12336
45	10308	12101
46	10524	11868
47	10740	11635
48	10951	11398
49	11189	11189
50	11400	10953
51	11619	10725
52	11830	10491
53	12055	10269
54	12273	10041
55	12484	9809
56	12705	9584
57	12918	9354
58	13144	9134
59	13356	8904
60	13572	8677
61	13791	8452
62	14008	8227
63	14232	8005
64	14445	7778
65	14663	7553
66	14882	7330
67	15108	7110
68	15324	6884
69	15541	6660
70	15770	6441
71	15989	6217
72	16202	5992
73	16422	5769
74	16650	5550
75	16865	5326
76	17077	5101
77	17293	4877
78	17508	4654
79	17732	4433
80	17947	4209
81	18164	3987
82	18388	3766
83	18602	3543
84	18821	3321
85	19038	3099
86	19253	2877
87	19475	2655
88	19731	2438
89	19949	2216
90	20180	1995
91	20403	1774
92	20615	1551
93	20830	1329
94	21050	1107
95	21272	886
96	21493	664
97	21712	443
98	21933	221
99	22146	0
